Time,Susceptible,Infected,Recovered/Deaths,Country
2020-05-19,1785,634779,1430806,Slovenia
2020-05-20,1631,617546,1448194,Slovenia
2020-05-21,1560,609100,1456710,Slovenia
2020-05-22,1431,592546,1473393,Slovenia
2020-05-23,1315,576432,1489624,Slovenia
2020-05-24,1261,568537,1497572,Slovenia
2020-05-25,1163,553063,1513145,Slovenia
2020-05-26,1075,538003,1528293,Slovenia
2020-05-27,1034,530625,1535712,Slovenia
2020-05-28,959,516166,1550246,Slovenia
2020-05-29,891,502096,1564383,Slovenia
2020-05-30,830,488406,1578135,Slovenia
2020-05-31,801,481699,1584870,Slovenia
2020-06-01,748,468559,1598063,Slovenia
2020-06-02,700,455774,1610897,Slovenia
2020-06-03,677,449512,1617181,Slovenia
2020-06-04,635,437242,1629493,Slovenia
2020-06-05,597,425305,1641469,Slovenia
2020-06-06,579,419458,1647334,Slovenia
2020-06-07,545,408002,1658823,Slovenia
2020-06-08,514,396858,1669998,Slovenia
2020-06-09,500,391400,1675471,Slovenia
2020-06-10,473,380706,1686192,Slovenia
2020-06-11,448,370304,1696619,Slovenia
2020-06-12,425,360184,1706761,Slovenia
2020-06-13,414,355229,1711728,Slovenia
2020-06-14,394,345520,1721457,Slovenia
2020-06-15,375,336076,1730920,Slovenia
2020-06-16,366,331451,1735554,Slovenia
2020-06-17,349,322390,1744631,Slovenia
2020-06-18,334,313577,1753460,Slovenia
2020-06-19,326,309260,1757784,Slovenia
2020-06-20,312,300805,1766253,Slovenia
2020-06-21,299,292580,1774491,Slovenia
2020-06-22,287,284579,1782504,Slovenia
2020-06-23,281,280661,1786429,Slovenia
2020-06-24,270,272983,1794117,Slovenia
2020-06-25,260,265514,1801597,Slovenia
2020-06-26,255,261856,1805260,Slovenia
2020-06-27,245,254689,1812436,Slovenia
2020-06-28,236,247717,1819417,Slovenia
2020-06-29,232,244303,1822835,Slovenia
2020-06-30,224,237615,1829532,Slovenia
2020-07-01,217,231110,1836044,Slovenia
2020-07-02,209,224783,1842378,Slovenia
2020-07-03,206,221685,1845480,Slovenia
2020-07-04,200,215617,1851554,Slovenia
2020-07-05,194,209715,1857462,Slovenia
2020-07-06,191,206825,1860354,Slovenia
2020-07-07,185,201166,1866019,Slovenia
2020-07-08,180,195662,1871529,Slovenia
2020-07-09,178,192967,1874226,Slovenia
2020-07-10,173,187688,1879509,Slovenia
2020-07-11,169,182555,1884646,Slovenia
2020-07-12,167,180042,1887162,Slovenia
2020-07-13,163,175119,1892089,Slovenia
2020-07-14,159,170331,1896880,Slovenia
2020-07-15,156,165674,1901540,Slovenia
2020-07-16,154,163394,1903822,Slovenia
2020-07-17,151,158928,1908292,Slovenia
2020-07-18,148,154583,1912639,Slovenia
2020-07-19,146,152456,1914768,Slovenia
